"Category Name","Category Description","Product Name","Brand","QR Code","Price (£)","Description","Warehouse Stock","Shop Floor Stock","Total Stock","Reserved Stock","Available Stock","Stock Value (£)","Stock Level","Stock Health","Low Stock Threshold","Low Stock Alert","Out of Stock Alert","Reorder Required","Expiry Date","Expiry Alert","Created By","Last Updated"
"STOCK SUMMARY REPORT","Inventory Management System","Generated: 05/09/2025, 15:03","","","","","","","","","","","","","","","","","","","",""
"CATEGORY 1: CRISPS & CHIPS","Potato chips, tortilla chips, pretzels","Products in Category: 42","","","","","","","","","","£1,336.97","","","","","","","","","",""
"Crisps & Chips","Potato chips, tortilla chips, pretzels","Blanco Nino smoky chipotle","Unknown Brand","4397088040469","£2.89","No description",7,3,10,0,10,"£28.90","NORMAL","Fair",5,"NO","NO","NO","29/11/2025","NO","undefined undefined","03/09/2025"
"","","Blanco niño lightly salted","Unknown Brand","5391528040216","£2.89","white corn 86%, sunflower oil, sea salt 1.8%, Celestun salt .2%",14,3,17,0,17,"£49.13","NORMAL","Good",5,"NO","NO","NO","09/02/2026","NO","undefined undefined","03/09/2025"
"","","Butterkist Simply Salted Popcorn","Unknown Brand","5000237202333","£1.25","Popped corn, Rapeseed Oil, Salt, Emulsifier: Lecithins. May contain Milk.",16,4,20,0,20,"£25.00","NORMAL","Good",5,"NO","NO","NO","01/12/2025","NO","undefined undefined","03/09/2025"
"","","Butterkist TASTY SWEET","Unknown Brand","5000237139981","£1.25","popped maize, sugar, rapeseed oi emulsifier: lecithins. no artificial col or flavours may contain milk. ng: whilst every effort to remove unpopped hard kernels may remain which could dama fat",16,5,21,0,21,"£26.25","NORMAL","Good",5,"NO","NO","NO","01/11/2025","NO","undefined undefined","03/09/2025"
"","","Cheetos Crunchy Fromage","Unknown Brand","028400017244","£6.99","Farine de maïs enrichie, farine de maïs, sulfate de fer, niacine, mononitrate de thiamine, riboflavine, acide folique, huile végétale, maïs, soja, ou huile de tournesol, lactosérum, sel, fromage chedd",26,4,30,0,30,"£209.70","NORMAL","Good",5,"NO","NO","NO","31/10/2025","NO","undefined undefined","04/09/2025"
"","","Crinklys Prawn Cocktail Flavour","Unknown Brand","5000168003061","£1.25","No description",0,6,6,0,6,"£7.50","NORMAL","Fair",5,"NO","NO","NO","13/12/2025","NO","undefined undefined","03/09/2025"
"","","Crisps/Chips - Cheddar & Onion","Unknown Brand","5000237139462","£1.25","No description",28,5,33,0,33,"£41.25","NORMAL","Good",10,"NO","NO","NO","11/10/2025","NO","undefined undefined","03/09/2025"
"","","Crunchips Cheese & onion flavour","Unknown Brand","4018077012204","£2.49","No description",10,4,14,0,14,"£34.86","NORMAL","Good",5,"NO","NO","NO","25/12/2025","NO","undefined undefined","04/09/2025"
"","","Crunchips x-cut Hot&Spicy","Unknown Brand","5905187125513","£2.49","No description",7,4,11,0,11,"£27.39","NORMAL","Good",5,"NO","NO","NO","10/01/2026","NO","undefined undefined","03/09/2025"
"","","Crunchips x-cut chili & lime","Unknown Brand","4018077005930","£2.60","No description",7,4,11,0,11,"£28.60","NORMAL","Good",5,"NO","NO","NO","08/05/2026","NO","undefined undefined","04/09/2025"
"","","Hummus Chips Sea salt","Unknown Brand","5060878780362","£2.49","No description",3,5,8,0,8,"£19.92","NORMAL","Fair",5,"NO","NO","NO","02/02/2026","NO","undefined undefined","03/09/2025"
"","","Iberian Ham Flavoured","Unknown Brand","8426944021253","£4.99","Potatoes, sunflower oil, flavouring, yeast extract, salt.",6,3,9,0,9,"£44.91","NORMAL","Fair",5,"NO","NO","NO","18/06/2026","NO","undefined undefined","03/09/2025"
"","","Jacobs Mini cheddar smoky bbq","Unknown Brand","5000168039732","£1.25","No description",16,8,24,0,24,"£30.00","NORMAL","Good",10,"NO","NO","NO","11/10/2025","NO","undefined undefined","03/09/2025"
